tsec,pt,mxpix,mypix,mxmm,mymm,scalemmperpix
-0.014,20,518.260675061301,257.619448461085,9.50649628100738,40.9388921611803,0.179
-0.013,1,503.171084749161,848.011381782071,5.78754889044625,-65.4311595367662,0.179
-0.013,2,506.742613375449,816.403659934285,5.1333511620867,-59.8788076898347,0.179
-0.013,3,493.921194291433,787.292301510962,4.4939293008898,-54.3154475993218,0.179
-0.013,4,502.73629074432,756.732586839368,3.88520256188389,-48.7389008559692,0.179
-0.013,5,497.265325285612,725.405927330855,3.38365140468004,-43.1454118176201,0.179
-0.013,6,503.375192301053,694.234923524166,3.18111495593272,-37.5290329314521,0.179
-0.013,7,509.780853048112,663.01994263214,3.39081386102145,-31.9021297877663,0.179
-0.013,8,500.871935224824,632.523131376643,4.02163468522899,-26.2948840285264,0.179
-0.013,9,497.867505136062,600.862812135227,4.81618440100833,-20.7075530145639,0.179
-0.013,10,497.213725354671,569.06288020654,5.23270095312223,-15.1060852163155,0.179
-0.013,11,497.46682449368,537.258538285456,5.0927960802111,-9.47311646212784,0.179
-0.013,12,496.522423873163,505.466989832432,4.91902399397433,-3.82741759380366,0.179
-0.013,13,494.26135428988,473.743592587049,5.10512095213074,1.80980419019174,0.179
-0.013,14,493.647386172447,441.938305862285,5.62936130145938,7.4226177086205,0.179
-0.013,15,487.980578915086,410.68428879334,6.30602451186608,13.0176522504583,0.179
-0.013,16,503.834698682268,383.048820522594,6.84422298691809,18.6246923787987,0.179
-0.013,17,512.146301014973,352.360462012471,7.32122290355447,24.2345049076211,0.179
-0.013,18,510.066851071423,320.626670472575,7.9935193422928,29.8184347181319,0.179
-0.013,19,517.424535763216,289.679989203409,8.58990704553874,35.4087261901633,0.179
-0.013,20,518.456826529804,257.890157539935,9.50775677167424,40.9399156750789,0.179
-0.012,1,503.36800806552,848.004794454873,5.81273630956691,-65.396413768993,0.179
-0.012,2,510.96725196828,817.161654200256,5.17171626338475,-59.844417768507,0.179
-0.012,3,506.593010997245,785.703465839994,4.53448323334485,-54.2822605604604,0.179
-0.012,4,500.078229825115,754.611521867815,3.90603343542849,-48.708567057461,0.179
-0.012,5,498.354913825436,722.894784954681,3.36938395185934,-43.119326310459,0.179
-0.012,6,490.300803597355,692.195412980475,3.1574600926703,-37.5063379391385,0.179
-0.012,7,502.96564728265,663.050937848704,3.38786372455827,-31.8813100747419,0.179
-0.012,8,499.030734661104,631.514841952056,4.03368583893565,-26.2753397887601,0.179
-0.012,9,496.755140921194,599.835380709751,4.82387995922134,-20.6891055811136,0.179
-0.012,10,496.763432660806,568.070765545838,5.23180250231558,-15.0887507602333,0.179
-0.012,11,497.100842334345,536.309225264463,5.09071445976576,-9.45713224010501,0.179
-0.012,12,495.223410922445,504.600356823373,4.91929116323554,-3.81291371359309,0.179
-0.012,13,495.252552783673,472.837062459546,5.10628594689786,1.82283302991859,0.179
-0.012,14,493.983656939646,441.092536009388,5.63062933822583,7.43417195414167,0.179
-0.012,15,487.459966257104,410.071478256916,6.30708296171969,13.0277884743298,0.179
-0.012,16,504.440976595504,383.157169302954,6.84477109038804,18.6334488181512,0.179
-0.012,17,511.625035484808,352.215513279773,7.3217662858871,24.2418147178238,0.179
-0.012,18,509.85419727816,320.502278374178,7.99435418116823,29.8242543603414,0.179
-0.012,19,516.505626580377,289.442523014829,8.59008211056991,35.4132083609696,0.179
-0.012,20,518.86575199145,257.766744003332,9.51079976855434,40.9423787897064,0.179
-0.011,1,503.709012568323,847.996863705973,5.86203118709838,-65.3441805293185,0.179
-0.011,2,497.941952356675,817.039770736333,5.19210970753256,-59.7979874799586,0.179
-0.011,3,500.275685329423,785.652351363648,4.53158406848954,-54.2408878481027,0.179
-0.011,4,502.789687694567,754.245923754389,3.89106780372837,-48.6707797761283,0.179
-0.011,5,497.341263544877,723.213132033614,3.35512373166169,-43.0836538659328,0.179
-0.011,6,502.383178856612,692.200673110118,3.15114671741087,-37.4727008614518,0.179
-0.011,7,505.484643263825,660.824531351774,3.39019978338248,-31.8502839441127,0.179
-0.011,8,500.050171138176,629.83085753061,4.04042612163099,-26.2469201003242,0.179
-0.011,9,498.044597427228,598.417285306583,4.82849930051864,-20.6628487270213,0.179
-0.011,10,497.484772806959,566.934001856204,5.23181146250912,-15.064491189735,0.179
-0.011,11,496.778086234214,535.457605337333,5.08937792457396,-9.43506757669384,0.179
-0.011,12,496.046918545418,503.983233564423,4.91935323757194,-3.79318648309253,0.179
-0.011,13,494.983805873765,472.507645238581,5.10751064558055,1.8402023852313,0.179
-0.011,14,493.619218881959,441.089898514152,5.63235914121642,7.4491769305507,0.179
